id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28679737,"Penn Qtr 1BR w/ Great Views + Gym, near Metro by Blueground",107434423,Blueground,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89552,-77.02276,Entire home/apt,167,30,1,1/16/2019,0.04,130,171
28689800,"Sunny, Spacious Family Home 2 Blocks from Metro",216438202,Ben And Abbey,,"Capitol Hill, Lincoln Park",38.88611,-76.98077,Entire home/apt,449,3,20,7/28/2020,0.66,1,0
28692012,Charming Room in Fabulous Neighborhood,159644445,Brooke And Luis,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93577,-77.03147,Private room,60,3,67,4/13/2021,2.2,5,180
28699771,Private Bedroom 1 Block from Union Station,24087552,Steven,,"Union Station, Stanton Park, Kingman Park",38.89869,-77.00167,Private room,200,2,0,,,1,0
28717282,Charming Washington DC Garden Suite,132723724,Jamie,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90344,-76.99157,Entire home/apt,75,1,141,2/26/2021,5.09,1,0
28719542,3BR House in Washington,48005494,Zeus,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91506,-77.03034,Entire home/apt,220,30,4,1/18/2021,0.15,203,241
28738052,DuPont Retro Chic 2BR - 3 Queen Beds,12928262,Mows,,"Dupont Circle, Connecticut Avenue/K Street",38.91306,-77.04639,Entire home/apt,190,30,35,12/19/2020,1.14,6,0
28757369,Sunny loft-like shared apartment in Adams Morgan,17734287,Stacey,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91754,-77.04135,Private room,72,1,56,2/29/2020,1.88,1,0
28762943,Bunk Bed/Female Dorm Rm/ Bottom Bunk 2,177578477,,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90483,-76.98724,Shared room,40,5,15,10/20/2019,0.49,8,180
28763567,Bunk Bed/Female Dorm Rm/Bottom Bunk #4,177578477,,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90651,-76.98717,Shared room,40,5,8,8/3/2019,0.26,8,180
28764474,Private Bedroom and Bathroom,18061758,Edson,,"Mayfair, Hillbrook, Mahaning Heights",38.89658,-76.94994,Private room,45,2,2,10/22/2018,0.07,1,0
28776973,Luxury 1 BR near H Street w/ patio,14900937,Alling,,"Union Station, Stanton Park, Kingman Park",38.90177,-77.00137,Entire home/apt,63,1,7,6/7/2019,0.24,1,0
28778293,Private One-Bedroom in Georgetown 201,216259133,Mahmoud,,"West End, Foggy Bottom, GWU",38.90246,-77.0536,Entire home/apt,139,1,23,3/3/2020,0.75,6,87
28786256,"Subletting snug, cozy little bedroom for October!",104853548,Natalie,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93175,-77.02292,Private room,25,14,0,,,1,0
28790411,Private Room w/Private Bath and Walk-in Closet,163362419,Marceen,,"Congress Heights, Bellevue, Washington Highlands",38.84093,-76.99077,Private room,45,21,1,1/15/2020,0.06,2,111
28806419,"Modern, artsy, top floor condo near DC attractions",18507499,Cindi,,"Congress Heights, Bellevue, Washington Highlands",38.84516,-76.99969,Entire home/apt,70,2,26,7/17/2019,0.84,1,0
28830819,"Smart Logan Circle 1BR w/ Gym, near hip 14th Street, by Blueground",107434423,Blueground,,"Shaw, Logan Circle",38.90603,-77.03018,Entire home/apt,213,30,0,,,130,0
28836027,3BR Place in Washington DC,48005494,Zeus,,"Shaw, Logan Circle",38.90639,-77.02979,Entire home/apt,258,30,2,11/21/2020,0.15,203,0
28838584,Giant 3 Bedroom/4Bathroom Basement Condo- HighEnd,153142984,Rosa,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92998,-77.02022,Entire home/apt,286,3,49,4/12/2021,1.67,4,153
